,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH
,AUROC,Achieved Sensitivity,Specificity,Accuracy,Precision,NPV,F1,n False Negative,n False Positive,DeLong P Current vs Global,DeLong LR vs DNN,AUROC,Achieved Sensitivity,Specificity,Accuracy,Precision,NPV,F1,n False Negative,n False Positive,DeLong P Current vs Global,DeLong LR vs DNN,AUROC,Achieved Sensitivity,Specificity,Accuracy,Precision,NPV,F1,n False Negative,n False Positive,DeLong P Current vs Global,DeLong LR vs DNN
Iteration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.696 (0.65 - 0.742),100.0% (97.4 - 100.0),0.0% (0.0 - 0.4),12.3% (10.5 - 14.2),12.3% (10.5 - 14.2),nan% (nan - nan),0.21837349397590364,0,1038,,1.06800552e-63,0.574 (0.56 - 0.589),83.4% (81.6 - 85.0),20.6% (20.0 - 21.2),27.1% (26.5 - 27.7),10.8% (10.3 - 11.3),91.5% (90.6 - 92.3),0.19113159,319,13198,nan,5.13399431e-295,0.622 (0.608 - 0.637),74.5% (72.3 - 76.7),43.8% (42.9 - 44.7),47.3% (46.4 - 48.1),14.4% (13.6 - 15.2),93.2% (92.5 - 93.8),0.24087749782797568,379,6611,nan,8.25706555e-171
1,0.684 (0.641 - 0.727),0.0% (0.0 - 2.6),100.0% (99.6 - 100.0),87.7% (85.8 - 89.5),0.0% (nan - nan),87.7% (85.8 - 89.5),,145,0,,1.06800552e-63,0.531 (0.517 - 0.544),87.7% (86.2 - 89.1),15.1% (14.6 - 15.7),22.6% (22.0 - 23.2),10.6% (10.2 - 11.1),91.5% (90.3 - 92.4),0.18983625070581592,235,14113,0.17469078,0,0.605 (0.591 - 0.619),86.8% (84.9 - 88.4),27.4% (26.6 - 28.2),34.1% (33.3 - 34.9),13.1% (12.5 - 13.8),94.2% (93.4 - 95.0),0.22805158099275746,197,8543,0.00020058,2.15143166e-240
2,0.795 (0.76 - 0.831),4.1% (1.9 - 8.7),99.7% (99.2 - 99.9),88.0% (86.0 - 89.7),66.7% (35.4 - 87.9),88.2% (86.2 - 89.9),0.077922078,139,3,,2.70444048e-48,0.627 (0.614 - 0.641),85.9% (84.3 - 87.4),25.1% (24.4 - 25.7),31.4% (30.7 - 32.0),11.7% (11.2 - 12.2),93.9% (93.2 - 94.6),0.20548030709693527,270,12459,7.78593604e-22,7.37551141e-248,0.699 (0.685 - 0.713),83.1% (81.1 - 84.9),42.9% (42.0 - 43.8),47.4% (46.6 - 48.3),15.5% (14.8 - 16.4),95.3% (94.7 - 95.8),0.2618543607112616,251,6723,2.43211799e-14,3.72104394e-144
3,0.837 (0.806 - 0.869),74.5% (66.8 - 80.9),78.6% (76.0 - 81.0),78.1% (75.7 - 80.4),32.7% (27.9 - 38.0),95.7% (94.1 - 96.8),0.45473684210526316,37,222,,0.3049128,0.7 (0.687 - 0.713),84.3% (82.6 - 85.9),36.7% (35.9 - 37.4),41.6% (40.9 - 42.3),13.3% (12.7 - 13.9),95.3% (94.7 - 95.8),0.22969705589532072,301,10531,1.38983515e-91,5.39542296e-160,0.77 (0.757 - 0.783),83.1% (81.1 - 84.9),55.1% (54.2 - 56.0),58.2% (57.4 - 59.0),19.0% (18.0 - 19.9),96.3% (95.8 - 96.7),0.30867124142233315,251,5290,8.40005745e-81,7.23388121e-78
4,0.853 (0.823 - 0.883),94.5% (89.5 - 97.2),52.4% (49.4 - 55.4),57.6% (54.7 - 60.4),21.7% (18.7 - 25.1),98.6% (97.2 - 99.3),0.3530927835051546,8,494,,0.00203442,0.734 (0.722 - 0.747),85.8% (84.1 - 87.2),40.7% (40.0 - 41.5),45.4% (44.7 - 46.1),14.3% (13.7 - 14.9),96.1% (95.7 - 96.6),0.24502274252479309,273,9852,2.97731721e-137,4.05849315e-122,0.796 (0.783 - 0.808),82.5% (80.4 - 84.3),60.1% (59.2 - 61.0),62.6% (61.8 - 63.4),20.7% (19.7 - 21.8),96.4% (96.0 - 96.8),0.3310400647511129,261,4698,4.9261679e-107,1.58058668e-56
5,0.86 (0.831 - 0.889),97.2% (93.1 - 98.9),47.3% (44.3 - 50.3),53.4% (50.6 - 56.3),20.5% (17.6 - 23.7),99.2% (97.9 - 99.7),0.33853541416566624,4,547,,0.0003815,0.755 (0.743 - 0.766),85.6% (84.0 - 87.1),46.5% (45.8 - 47.3),50.6% (49.9 - 51.3),15.6% (14.9 - 16.3),96.6% (96.1 - 96.9),0.26355966251506624,276,8889,7.14324362e-184,4.3652267e-82,0.807 (0.795 - 0.82),78.1% (75.9 - 80.1),68.2% (67.3 - 69.0),69.3% (68.5 - 70.1),23.7% (22.5 - 24.9),96.1% (95.7 - 96.5),0.36346574913981855,326,3744,5.00516556e-122,1.38570724e-38
6,0.864 (0.837 - 0.892),93.8% (88.6 - 96.7),58.3% (55.3 - 61.2),62.6% (59.8 - 65.3),23.9% (20.6 - 27.6),98.5% (97.2 - 99.2),0.380952381,9,433,,0.11609772,0.774 (0.762 - 0.785),85.0% (83.3 - 86.5),52.9% (52.1 - 53.7),56.2% (55.5 - 56.9),17.2% (16.5 - 18.0),96.8% (96.4 - 97.2),0.28624175824175824,288,7831,1.91443358e-237,5.65578764e-48,0.817 (0.805 - 0.829),76.5% (74.3 - 78.6),73.0% (72.2 - 73.8),73.4% (72.6 - 74.1),26.4% (25.1 - 27.7),96.1% (95.7 - 96.5),0.3922176308539945,349,3181,1.25388857e-133,2.07628962e-24
7,0.868 (0.842 - 0.895),91.0% (85.3 - 94.7),64.9% (62.0 - 67.8),68.1% (65.4 - 70.7),26.6% (22.9 - 30.7),98.1% (96.8 - 98.9),0.4118564742589704,13,364,,0.70265363,0.786 (0.776 - 0.797),85.0% (83.3 - 86.5),56.7% (55.9 - 57.4),59.6% (58.9 - 60.3),18.4% (17.6 - 19.3),97.0% (96.7 - 97.4),0.3030528667163068,288,7200,8.69727409e-278,5.30147285e-28,0.825 (0.813 - 0.836),72.9% (70.6 - 75.1),78.9% (78.1 - 79.6),78.2% (77.5 - 78.9),30.4% (28.9 - 31.9),95.8% (95.4 - 96.2),0.42868431450019745,403,2489,9.27710622e-138,5.15462009e-16
