,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH
,AUROC,Achieved Sensitivity,Specificity,Accuracy,Precision,NPV,F1,n False Negative,n False Positive,DeLong P Current vs Global,DeLong LR vs DNN,AUROC,Achieved Sensitivity,Specificity,Accuracy,Precision,NPV,F1,n False Negative,n False Positive,DeLong P Current vs Global,DeLong LR vs DNN
Iteration,,,,,,,,,,,,,,,,,,,,,,
0,0.538 (0.524 - 0.552),89.6% (88.2 - 90.9),13.0% (12.5 - 13.5),20.9% (20.3 - 21.5),10.6% (10.1 - 11.1),91.6% (90.4 - 92.6),0.18974472317383137,199,14465,0.08695396,,0.591 (0.577 - 0.605),87.7% (85.9 - 89.3),24.8% (24.0 - 25.5),31.8% (31.0 - 32.6),12.8% (12.2 - 13.5),94.1% (93.2 - 94.9),0.22401510599948504,183,8858,3.94102762e-07,
1,0.604 (0.591 - 0.618),86.0% (84.3 - 87.4),22.9% (22.3 - 23.6),29.4% (28.8 - 30.1),11.4% (10.9 - 11.9),93.4% (92.6 - 94.1),0.20112345829771647,269,12815,1.05091508e-19,,0.626 (0.612 - 0.64),87.0% (85.2 - 88.6),29.1% (28.3 - 30.0),35.6% (34.8 - 36.4),13.4% (12.8 - 14.1),94.6% (93.9 - 95.3),0.23265012585400935,194,8342,5.48692339e-11,
2,0.68 (0.667 - 0.693),83.7% (81.9 - 85.3),34.6% (33.9 - 35.3),39.7% (39.0 - 40.4),12.8% (12.3 - 13.4),94.8% (94.3 - 95.4),0.22276264591439687,313,10873,2.94390653e-43,,0.741 (0.728 - 0.755),84.8% (82.9 - 86.5),46.9% (46.0 - 47.8),51.1% (50.3 - 52.0),16.8% (16.0 - 17.7),96.1% (95.5 - 96.5),0.28031985784095953,226,6254,1.00643561e-20,
3,0.725 (0.713 - 0.737),87.7% (86.2 - 89.1),34.4% (33.7 - 35.2),39.9% (39.2 - 40.6),13.4% (12.8 - 14.0),96.1% (95.5 - 96.5),0.23186206896551723,235,10903,0.00736146,,0.784 (0.771 - 0.797),83.0% (81.0 - 84.8),57.2% (56.3 - 58.1),60.1% (59.2 - 60.9),19.7% (18.7 - 20.7),96.4% (95.9 - 96.8),0.31817596290094036,253,5040,1.77369108e-08,
4,0.748 (0.736 - 0.759),84.9% (83.2 - 86.4),45.6% (44.9 - 46.4),49.7% (48.9 - 50.4),15.2% (14.6 - 15.9),96.3% (95.9 - 96.7),0.2584028605482717,290,9043,1.11274056e-31,,0.804 (0.792 - 0.816),79.5% (77.4 - 81.5),65.6% (64.7 - 66.4),67.1% (66.3 - 67.9),22.6% (21.5 - 23.7),96.2% (95.8 - 96.6),0.35182156133828996,305,4054,2.55951403e-07,
5,0.769 (0.758 - 0.78),84.6% (82.9 - 86.1),53.4% (52.7 - 54.2),56.6% (55.9 - 57.4),17.3% (16.5 - 18.1),96.8% (96.4 - 97.1),0.2872595088217041,296,7743,5.58349066e-37,,0.812 (0.8 - 0.824),76.5% (74.3 - 78.6),71.8% (71.0 - 72.6),72.4% (71.6 - 73.1),25.6% (24.3 - 26.9),96.0% (95.6 - 96.4),0.3832436069986541,349,3317,2.1083987e-07,
6,0.785 (0.774 - 0.796),85.9% (84.2 - 87.3),54.2% (53.4 - 55.0),57.5% (56.8 - 58.2),17.8% (17.0 - 18.6),97.1% (96.7 - 97.4),0.2943808160343593,271,7615,2.94230168e-10,,0.821 (0.809 - 0.833),74.9% (72.7 - 77.1),76.1% (75.4 - 76.9),76.0% (75.3 - 76.7),28.4% (27.0 - 29.8),96.0% (95.6 - 96.4),0.41197118049140957,373,2810,5.1958989e-05,
7,0.794 (0.783 - 0.805),86.5% (84.9 - 88.0),55.1% (54.3 - 55.8),58.3% (57.6 - 59.0),18.2% (17.4 - 19.0),97.3% (96.9 - 97.6),0.30025353132922855,258,7470,0.87947264,,0.828 (0.817 - 0.84),73.4% (71.1 - 75.6),79.5% (78.8 - 80.2),78.8% (78.1 - 79.5),31.1% (29.6 - 32.7),95.9% (95.5 - 96.3),0.4373247897476972,396,2414,0.00172205,
8,0.802 (0.791 - 0.812),86.2% (84.6 - 87.6),59.0% (58.3 - 59.7),61.8% (61.1 - 62.5),19.5% (18.7 - 20.4),97.4% (97.0 - 97.7),0.31798921417565484,265,6817,1.66214656e-09,,0.834 (0.822 - 0.845),72.2% (69.8 - 74.4),82.0% (81.3 - 82.7),80.9% (80.2 - 81.6),33.7% (32.0 - 35.3),95.9% (95.5 - 96.3),0.4591705857203934,414,2116,4.39273173e-06,
9,0.807 (0.797 - 0.817),85.4% (83.7 - 86.9),60.4% (59.6 - 61.1),62.9% (62.2 - 63.6),19.9% (19.0 - 20.8),97.3% (97.0 - 97.6),0.3225552050473186,280,6592,0.03701303,,0.838 (0.826 - 0.849),73.3% (71.0 - 75.5),82.0% (81.3 - 82.7),81.0% (80.3 - 81.7),34.0% (32.3 - 35.6),96.0% (95.6 - 96.4),0.46415656243352477,397,2122,0.04197328,
10,0.812 (0.802 - 0.823),84.8% (83.1 - 86.3),62.1% (61.4 - 62.8),64.4% (63.8 - 65.1),20.5% (19.6 - 21.4),97.3% (96.9 - 97.6),0.3301838870263131,291,6302,0.26525376,,0.841 (0.829 - 0.852),75.1% (72.9 - 77.3),80.8% (80.1 - 81.5),80.2% (79.5 - 80.8),33.1% (31.5 - 34.7),96.3% (95.9 - 96.6),0.45960945529290853,370,2259,0.73708387,
11,0.816 (0.806 - 0.827),84.5% (82.8 - 86.1),63.0% (62.3 - 63.7),65.2% (64.5 - 65.9),20.8% (19.9 - 21.8),97.2% (96.9 - 97.5),0.3342969233945901,297,6151,0.0678864,,0.843 (0.832 - 0.855),76.1% (73.8 - 78.2),80.5% (79.7 - 81.2),80.0% (79.3 - 80.6),33.0% (31.4 - 34.6),96.4% (96.0 - 96.7),0.4602561496239073,356,2299,0.12533919,
12,0.82 (0.81 - 0.83),82.8% (81.1 - 84.5),67.0% (66.3 - 67.7),68.6% (68.0 - 69.3),22.4% (21.5 - 23.4),97.1% (96.8 - 97.4),0.35301968635301967,329,5488,8.29978485e-05,,0.846 (0.834 - 0.858),77.3% (75.1 - 79.3),79.5% (78.7 - 80.2),79.2% (78.5 - 79.9),32.2% (30.7 - 33.8),96.5% (96.1 - 96.9),0.4549050632911392,338,2418,0.52568909,
13,0.823 (0.813 - 0.833),82.3% (80.5 - 83.9),68.8% (68.1 - 69.5),70.2% (69.5 - 70.9),23.3% (22.3 - 24.3),97.1% (96.8 - 97.4),0.36321733118230004,340,5186,0.00230907,,0.848 (0.836 - 0.859),78.2% (76.0 - 80.2),78.7% (77.9 - 79.4),78.6% (77.9 - 79.3),31.6% (30.2 - 33.2),96.6% (96.2 - 97.0),0.4505132674801472,325,2512,0.58894846,
14,0.826 (0.815 - 0.836),81.8% (80.0 - 83.5),70.3% (69.6 - 71.0),71.5% (70.8 - 72.1),24.1% (23.1 - 25.1),97.1% (96.8 - 97.4),0.3722697056030389,348,4940,2.35395171e-07,,0.85 (0.838 - 0.861),77.8% (75.6 - 79.9),79.1% (78.3 - 79.8),78.9% (78.2 - 79.6),32.0% (30.5 - 33.5),96.6% (96.2 - 96.9),0.4530516431924883,330,2466,0.07104156,
15,0.828 (0.818 - 0.838),81.9% (80.1 - 83.5),70.2% (69.5 - 70.9),71.4% (70.7 - 72.0),24.0% (23.0 - 25.1),97.1% (96.8 - 97.4),0.37158081705150975,347,4960,0.63496133,,0.851 (0.839 - 0.862),77.7% (75.5 - 79.7),79.4% (78.6 - 80.1),79.2% (78.5 - 79.9),32.3% (30.8 - 33.8),96.6% (96.2 - 96.9),0.4559258528889766,332,2427,0.00217219,
16,0.83 (0.82 - 0.841),81.4% (79.6 - 83.0),71.4% (70.7 - 72.0),72.4% (71.7 - 73.0),24.7% (23.6 - 25.7),97.1% (96.8 - 97.4),0.37853587471166683,357,4762,0.00047714,,0.852 (0.84 - 0.864),77.5% (75.3 - 79.5),80.1% (79.3 - 80.8),79.8% (79.1 - 80.5),33.0% (31.4 - 34.5),96.6% (96.2 - 96.9),0.4624022458391818,335,2346,6.98550313e-05,
17,0.832 (0.822 - 0.843),81.4% (79.6 - 83.1),71.7% (71.0 - 72.4),72.7% (72.1 - 73.4),24.9% (23.9 - 26.0),97.1% (96.8 - 97.4),0.3815580286168522,356,4701,0.06018982,,0.853 (0.841 - 0.865),77.2% (75.0 - 79.3),80.5% (79.8 - 81.2),80.2% (79.5 - 80.8),33.4% (31.8 - 35.0),96.5% (96.2 - 96.9),0.4663149350649351,339,2291,0.53449596,
18,0.834 (0.824 - 0.845),82.2% (80.4 - 83.8),70.8% (70.1 - 71.5),72.0% (71.3 - 72.6),24.5% (23.5 - 25.6),97.2% (96.9 - 97.5),0.3772770853307766,342,4854,0.34940369,,0.854 (0.842 - 0.865),76.7% (74.5 - 78.8),81.1% (80.4 - 81.8),80.6% (80.0 - 81.3),33.9% (32.4 - 35.6),96.5% (96.1 - 96.8),0.4707337180544106,346,2222,0.06580473,
19,0.836 (0.826 - 0.847),81.3% (79.5 - 83.0),72.4% (71.8 - 73.1),73.4% (72.7 - 74.0),25.4% (24.3 - 26.5),97.1% (96.8 - 97.4),0.3867444458235076,358,4583,0.00017408,,0.854 (0.843 - 0.866),75.4% (73.2 - 77.5),82.4% (81.7 - 83.1),81.7% (81.0 - 82.3),35.2% (33.5 - 36.9),96.4% (96.0 - 96.7),0.47979474021808854,366,2067,0.58641684,
20,0.838 (0.828 - 0.849),82.8% (81.0 - 84.4),69.9% (69.2 - 70.6),71.2% (70.6 - 71.9),24.1% (23.0 - 25.1),97.2% (96.9 - 97.5),0.37273795534665105,330,5008,2.07659831e-09,,0.855 (0.843 - 0.867),75.7% (73.5 - 77.8),82.2% (81.5 - 82.9),81.5% (80.8 - 82.1),35.0% (33.4 - 36.7),96.4% (96.0 - 96.8),0.4787595581988105,361,2093,0.8381608,
21,0.84 (0.83 - 0.851),82.2% (80.4 - 83.9),70.8% (70.1 - 71.5),71.9% (71.3 - 72.6),24.5% (23.4 - 25.5),97.2% (96.9 - 97.5),0.3771551724137931,341,4861,2.06091788e-06,,0.856 (0.844 - 0.868),75.9% (73.6 - 78.0),82.4% (81.7 - 83.0),81.6% (81.0 - 82.3),35.2% (33.6 - 36.9),96.4% (96.0 - 96.8),0.4810396250532595,359,2077,0.26335313,
