,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,BHEvaluation,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH
,AUROC,Achieved Sensitivity,Specificity,Accuracy,Precision,NPV,F1,n False Negative,n False Positive,DeLong P Current vs Global,DeLong LR vs DNN,AUROC,Achieved Sensitivity,Specificity,Accuracy,Precision,NPV,F1,n False Negative,n False Positive,DeLong P Current vs Global,DeLong LR vs DNN,AUROC,Achieved Sensitivity,Specificity,Accuracy,Precision,NPV,F1,n False Negative,n False Positive,DeLong P Current vs Global,DeLong LR vs DNN
Iteration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.804 (0.773 - 0.836),100.0% (97.4 - 100.0),0.0% (0.0 - 0.4),12.3% (10.5 - 14.2),12.3% (10.5 - 14.2),nan% (nan - nan),0.21837349397590364,0,1038,,,0.685 (0.673 - 0.698),86.8% (85.3 - 88.3),32.7% (32.0 - 33.4),38.3% (37.6 - 39.0),12.9% (12.4 - 13.5),95.6% (95.0 - 96.1),0.22526059293353184,252,11194,nan,,0.731 (0.718 - 0.744),81.8% (79.7 - 83.7),49.7% (48.8 - 50.6),53.3% (52.5 - 54.2),17.1% (16.2 - 18.0),95.6% (95.0 - 96.1),0.28233383598190465,271,5916,nan,
1,0.862 (0.835 - 0.889),98.6% (95.1 - 99.6),42.1% (39.1 - 45.1),49.0% (46.2 - 51.9),19.2% (16.6 - 22.2),99.5% (98.4 - 99.9),0.3217097862767154,2,601,,,0.811 (0.8 - 0.821),85.4% (83.7 - 86.9),61.7% (61.0 - 62.5),64.2% (63.5 - 64.9),20.4% (19.6 - 21.3),97.3% (97.0 - 97.6),0.32997176280758367,280,6364,1.07450333e-178,,0.854 (0.844 - 0.864),73.7% (71.4 - 75.9),82.1% (81.4 - 82.8),81.2% (80.5 - 81.8),34.2% (32.6 - 35.9),96.1% (95.7 - 96.5),0.4677041142613515,391,2106,2.72430573e-89,
2,0.864 (0.836 - 0.892),73.8% (66.1 - 80.3),81.6% (79.1 - 83.8),80.6% (78.3 - 82.8),35.9% (30.7 - 41.5),95.7% (94.2 - 96.9),0.4830699774266366,38,191,,,0.813 (0.802 - 0.823),83.9% (82.2 - 85.5),62.3% (61.5 - 63.0),64.5% (63.8 - 65.2),20.4% (19.5 - 21.3),97.1% (96.8 - 97.4),0.32799265231146035,309,6276,2.40036733e-136,,0.853 (0.842 - 0.863),77.2% (74.9 - 79.2),78.7% (78.0 - 79.4),78.5% (77.8 - 79.2),31.4% (29.9 - 32.9),96.5% (96.1 - 96.8),0.4464320435543457,340,2507,1.76377076e-83,
3,0.87 (0.844 - 0.897),81.4% (74.3 - 86.9),73.0% (70.2 - 75.6),74.0% (71.5 - 76.5),29.6% (25.4 - 34.3),96.6% (95.0 - 97.6),0.43462246777163904,27,280,,,0.819 (0.808 - 0.829),85.3% (83.6 - 86.8),62.1% (61.3 - 62.8),64.5% (63.8 - 65.1),20.6% (19.7 - 21.5),97.3% (97.0 - 97.6),0.3314737803022619,282,6309,1.64990597e-173,,0.859 (0.849 - 0.87),75.5% (73.3 - 77.7),81.5% (80.8 - 82.2),80.9% (80.2 - 81.5),34.1% (32.5 - 35.7),96.3% (96.0 - 96.7),0.4698996655518395,364,2172,8.14220877e-96,
4,0.872 (0.845 - 0.899),79.3% (72.0 - 85.1),76.5% (73.8 - 79.0),76.8% (74.4 - 79.2),32.0% (27.4 - 37.0),96.4% (94.9 - 97.4),0.4563492063492063,30,244,,,0.822 (0.811 - 0.832),82.4% (80.6 - 84.1),66.7% (65.9 - 67.4),68.3% (67.6 - 69.0),22.2% (21.2 - 23.1),97.0% (96.7 - 97.3),0.34937493085518306,337,5544,6.91658875e-171,,0.86 (0.85 - 0.871),76.5% (74.3 - 78.6),80.9% (80.1 - 81.6),80.4% (79.7 - 81.1),33.6% (32.0 - 35.2),96.5% (96.1 - 96.8),0.46689895470383275,349,2252,6.31133515e-96,
5,0.874 (0.847 - 0.901),86.2% (79.7 - 90.9),69.2% (66.3 - 71.9),71.3% (68.6 - 73.8),28.1% (24.1 - 32.4),97.3% (95.9 - 98.2),0.423728814,20,320,,,0.825 (0.814 - 0.835),81.4% (79.6 - 83.1),69.1% (68.3 - 69.7),70.3% (69.7 - 71.0),23.3% (22.3 - 24.3),97.0% (96.7 - 97.3),0.3618649965205289,356,5146,3.7965631e-179,,0.863 (0.852 - 0.874),78.4% (76.2 - 80.4),80.0% (79.2 - 80.7),79.8% (79.1 - 80.5),33.1% (31.6 - 34.7),96.7% (96.3 - 97.0),0.46528332003192335,322,2358,2.7045721e-99,
6,0.875 (0.849 - 0.902),80.0% (72.8 - 85.7),76.1% (73.4 - 78.6),76.6% (74.1 - 78.9),31.9% (27.3 - 36.8),96.5% (95.0 - 97.5),0.45579567779960706,29,248,,,0.825 (0.814 - 0.835),82.6% (80.9 - 84.3),67.0% (66.3 - 67.7),68.6% (67.9 - 69.3),22.4% (21.4 - 23.4),97.1% (96.8 - 97.4),0.35224744103248773,333,5489,1.00988367e-189,,0.863 (0.853 - 0.874),75.5% (73.3 - 77.7),82.9% (82.2 - 83.5),82.1% (81.4 - 82.7),35.8% (34.1 - 37.5),96.4% (96.0 - 96.7),0.4857389801210026,364,2016,1.15783131e-105,
7,0.875 (0.848 - 0.902),86.2% (79.7 - 90.9),70.9% (68.1 - 73.6),72.8% (70.2 - 75.2),29.3% (25.2 - 33.8),97.4% (95.9 - 98.3),0.4370629370629371,20,302,,,0.825 (0.815 - 0.836),81.9% (80.2 - 83.6),68.1% (67.4 - 68.8),69.5% (68.9 - 70.2),22.8% (21.9 - 23.9),97.0% (96.7 - 97.3),0.3573054164770142,346,5302,2.82005292e-177,,0.863 (0.852 - 0.874),77.8% (75.6 - 79.9),80.9% (80.2 - 81.6),80.6% (79.9 - 81.2),34.0% (32.4 - 35.6),96.7% (96.3 - 97.0),0.47323252962811607,330,2248,1.08607812e-102,
