,BHEvaluation,BHEvaluation,UHB,UHB,OUH,OUH,PUH,PUH
,TPR,FPR,TPR,FPR,TPR,FPR,TPR,FPR
Value,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0009633911368015414,0.00980392156862745,0.0,0.0,6.0143140674806036e-05,0.0006720430107526882,0.0
2,0.034482758620689655,0.0009633911368015414,0.08823529411764706,0.0,0.0005219206680584551,6.0143140674806036e-05,0.002688172043010753,0.0
3,0.034482758620689655,0.0019267822736030828,0.08823529411764706,0.0023837902264600714,0.0015657620041753654,6.0143140674806036e-05,0.002688172043010753,8.494733265375468e-05
4,0.041379310344827586,0.0019267822736030828,0.10784313725490197,0.0023837902264600714,0.0020876826722338203,6.0143140674806036e-05,0.004704301075268817,8.494733265375468e-05
5,0.041379310344827586,0.002890173410404624,0.10784313725490197,0.003575685339690107,0.0020876826722338203,0.00012028628134961207,0.004704301075268817,0.00016989466530750936
6,0.05517241379310345,0.002890173410404624,0.11764705882352941,0.003575685339690107,0.0036534446764091857,0.00012028628134961207,0.006720430107526882,0.00016989466530750936
7,0.05517241379310345,0.0038535645472061657,0.11764705882352941,0.004767580452920143,0.0036534446764091857,0.00024057256269922414,0.006720430107526882,0.00025484199796126404
8,0.06896551724137931,0.0038535645472061657,0.12745098039215685,0.004767580452920143,0.006263048016701462,0.00024057256269922414,0.008064516129032258,0.00025484199796126404
9,0.06896551724137931,0.004816955684007707,0.12745098039215685,0.0059594755661501785,0.006263048016701462,0.0003007157033740302,0.008064516129032258,0.0003397893306150187
10,0.07586206896551724,0.004816955684007707,0.17647058823529413,0.0059594755661501785,0.007828810020876827,0.0003007157033740302,0.008736559139784945,0.0003397893306150187
11,0.07586206896551724,0.007707129094412331,0.17647058823529413,0.007151370679380214,0.007828810020876827,0.00036085884404883623,0.008736559139784945,0.00042473666326877334
12,0.0896551724137931,0.007707129094412331,0.20588235294117646,0.007151370679380214,0.008350730688935281,0.00036085884404883623,0.009408602150537635,0.00042473666326877334
13,0.0896551724137931,0.008670520231213872,0.20588235294117646,0.009535160905840286,0.008350730688935281,0.00042100198472364226,0.009408602150537635,0.0005096839959225281
14,0.10344827586206896,0.008670520231213872,0.24509803921568626,0.009535160905840286,0.009394572025052192,0.00042100198472364226,0.010752688172043012,0.0005096839959225281
15,0.10344827586206896,0.010597302504816955,0.24509803921568626,0.010727056019070322,0.012004175365344467,0.00042100198472364226,0.010752688172043012,0.0006795786612300374
16,0.11724137931034483,0.010597302504816955,0.28431372549019607,0.010727056019070322,0.012004175365344467,0.0004811451253984483,0.014112903225806451,0.0006795786612300374
17,0.11724137931034483,0.011560693641618497,0.28431372549019607,0.011918951132300357,0.012526096033402923,0.0004811451253984483,0.014112903225806451,0.0008494733265375467
18,0.14482758620689656,0.011560693641618497,0.3137254901960784,0.011918951132300357,0.012526096033402923,0.0006014314067480604,0.015456989247311828,0.0008494733265375467
19,0.14482758620689656,0.012524084778420038,0.3137254901960784,0.013110846245530394,0.014613778705636743,0.0006014314067480604,0.015456989247311828,0.0009344206591913014
20,0.15172413793103448,0.012524084778420038,0.3333333333333333,0.013110846245530394,0.016701461377870562,0.0006014314067480604,0.01881720430107527,0.0009344206591913014
21,0.15172413793103448,0.01348747591522158,0.3333333333333333,0.014302741358760428,0.016701461377870562,0.0006615745474228664,0.01881720430107527,0.0010193679918450561
22,0.2,0.01348747591522158,0.35294117647058826,0.014302741358760428,0.01722338204592902,0.0006615745474228664,0.020161290322580645,0.0010193679918450561
23,0.2,0.014450867052023121,0.35294117647058826,0.015494636471990465,0.01722338204592902,0.0007217176880976725,0.020161290322580645,0.0011043153244988107
24,0.2413793103448276,0.014450867052023121,0.37254901960784315,0.015494636471990465,0.01826722338204593,0.0007217176880976725,0.024193548387096774,0.0011043153244988107
25,0.2413793103448276,0.015414258188824663,0.37254901960784315,0.0166865315852205,0.01826722338204593,0.0008420039694472845,0.024193548387096774,0.0011892626571525654
26,0.2482758620689655,0.015414258188824663,0.38235294117647056,0.0166865315852205,0.019832985386221295,0.0008420039694472845,0.031586021505376344,0.0011892626571525654
27,0.2482758620689655,0.016377649325626204,0.38235294117647056,0.017878426698450536,0.019832985386221295,0.0009021471101220905,0.031586021505376344,0.0012742099898063201
28,0.25517241379310346,0.016377649325626204,0.4019607843137255,0.017878426698450536,0.020876826722338204,0.0009021471101220905,0.0396505376344086,0.0012742099898063201
29,0.25517241379310346,0.018304431599229287,0.4019607843137255,0.023837902264600714,0.020876826722338204,0.0009622902507968966,0.0396505376344086,0.0013591573224600749
30,0.2620689655172414,0.018304431599229287,0.4117647058823529,0.023837902264600714,0.021920668058455117,0.0009622902507968966,0.043682795698924734,0.0013591573224600749
31,0.2620689655172414,0.02119460500963391,0.4117647058823529,0.027413587604290822,0.021920668058455117,0.0010224333914717026,0.043682795698924734,0.0014441046551138294
32,0.2827586206896552,0.02119460500963391,0.4215686274509804,0.027413587604290822,0.02348643006263048,0.0010224333914717026,0.04838709677419355,0.0014441046551138294
33,0.2827586206896552,0.024084778420038536,0.4215686274509804,0.03218116805721097,0.02348643006263048,0.0010825765321465087,0.04838709677419355,0.0015290519877675841
34,0.2896551724137931,0.024084778420038536,0.46078431372549017,0.03218116805721097,0.025052192066805846,0.0010825765321465087,0.049059139784946235,0.0015290519877675841
35,0.2896551724137931,0.025048169556840076,0.46078431372549017,0.033373063170441,0.025052192066805846,0.0011427196728213147,0.049059139784946235,0.001783893985728848
36,0.296551724137931,0.025048169556840076,0.47058823529411764,0.033373063170441,0.028183716075156576,0.0011427196728213147,0.04973118279569892,0.001783893985728848
37,0.296551724137931,0.027938342967244702,0.47058823529411764,0.03456495828367104,0.028183716075156576,0.0012028628134961208,0.04973118279569892,0.0018688413183826028
38,0.30344827586206896,0.027938342967244702,0.4803921568627451,0.03456495828367104,0.02870563674321503,0.0012028628134961208,0.05174731182795699,0.0018688413183826028
39,0.30344827586206896,0.028901734104046242,0.4803921568627451,0.03575685339690107,0.02870563674321503,0.0013231490948457329,0.05174731182795699,0.002123683316343867
40,0.32413793103448274,0.028901734104046242,0.49019607843137253,0.03575685339690107,0.029227557411273485,0.0013231490948457329,0.05443548387096774,0.002123683316343867
41,0.32413793103448274,0.029865125240847785,0.49019607843137253,0.03814064362336114,0.029227557411273485,0.0013832922355205388,0.05443548387096774,0.0022086306489976213
42,0.35172413793103446,0.029865125240847785,0.5098039215686274,0.03814064362336114,0.030793319415448852,0.0013832922355205388,0.05779569892473118,0.0022086306489976213
43,0.35172413793103446,0.030828516377649325,0.5098039215686274,0.03933253873659118,0.030793319415448852,0.001443435376195345,0.05779569892473118,0.0022935779816513763
44,0.3586206896551724,0.030828516377649325,0.5196078431372549,0.03933253873659118,0.031315240083507306,0.001443435376195345,0.05981182795698925,0.0022935779816513763
45,0.3586206896551724,0.03468208092485549,0.5196078431372549,0.041716328963051254,0.031315240083507306,0.001503578516870151,0.05981182795698925,0.002378525314305131
46,0.36551724137931035,0.03468208092485549,0.5294117647058824,0.041716328963051254,0.03288100208768267,0.001503578516870151,0.06586021505376344,0.002378525314305131
47,0.36551724137931035,0.03757225433526012,0.5294117647058824,0.04767580452920143,0.03288100208768267,0.0016238647982197631,0.06586021505376344,0.0024634726469588853
48,0.3793103448275862,0.03757225433526012,0.5392156862745098,0.04767580452920143,0.03392484342379958,0.0016238647982197631,0.06854838709677419,0.0024634726469588853
49,0.3793103448275862,0.04046242774566474,0.5392156862745098,0.05363528009535161,0.03392484342379958,0.0017441510795693752,0.06854838709677419,0.0025484199796126403
50,0.41379310344827586,0.04046242774566474,0.5588235294117647,0.05363528009535161,0.03444676409185804,0.0017441510795693752,0.07123655913978495,0.0025484199796126403
51,0.41379310344827586,0.041425818882466284,0.5588235294117647,0.054827175208581644,0.03444676409185804,0.0018644373609189872,0.07123655913978495,0.0026333673122663948
52,0.43448275862068964,0.041425818882466284,0.5686274509803921,0.054827175208581644,0.03496868475991649,0.0018644373609189872,0.07190860215053764,0.0026333673122663948
53,0.43448275862068964,0.04238921001926782,0.5686274509803921,0.058402860548271755,0.03496868475991649,0.0019847236422685993,0.07190860215053764,0.0028032619775739042
54,0.4413793103448276,0.04238921001926782,0.5882352941176471,0.058402860548271755,0.038100208768267224,0.0019847236422685993,0.07594086021505377,0.0028032619775739042
55,0.4413793103448276,0.046242774566473986,0.5882352941176471,0.05959475566150179,0.038100208768267224,0.002044866782943405,0.07594086021505377,0.0028882093102276588
56,0.45517241379310347,0.046242774566473986,0.5980392156862745,0.05959475566150179,0.04123173277661795,0.002044866782943405,0.08064516129032258,0.0028882093102276588
57,0.45517241379310347,0.049132947976878616,0.5980392156862745,0.0631704410011919,0.04123173277661795,0.002105009923618211,0.08064516129032258,0.0029731566428814137
58,0.46206896551724136,0.049132947976878616,0.6078431372549019,0.0631704410011919,0.042275574112734866,0.002105009923618211,0.08333333333333333,0.0029731566428814137
59,0.46206896551724136,0.05009633911368015,0.6078431372549019,0.06793802145411204,0.042275574112734866,0.0022252962049678234,0.08333333333333333,0.0030581039755351682
60,0.4689655172413793,0.05009633911368015,0.6176470588235294,0.06793802145411204,0.04384133611691023,0.0022252962049678234,0.08870967741935484,0.0030581039755351682
61,0.4689655172413793,0.05202312138728324,0.6176470588235294,0.06912991656734208,0.04384133611691023,0.0022854393456426293,0.08870967741935484,0.0031430513081889227
62,0.47586206896551725,0.05202312138728324,0.6274509803921569,0.06912991656734208,0.04488517745302714,0.0022854393456426293,0.08938172043010753,0.0031430513081889227
63,0.47586206896551725,0.05394990366088632,0.6274509803921569,0.07151370679380215,0.04488517745302714,0.0023455824863174357,0.08938172043010753,0.003312945973496432
64,0.5103448275862069,0.05394990366088632,0.6568627450980392,0.07151370679380215,0.0511482254697286,0.0023455824863174357,0.09475806451612903,0.003312945973496432
65,0.5103448275862069,0.055876685934489405,0.6568627450980392,0.07747318235995232,0.0511482254697286,0.0024057256269922416,0.09475806451612903,0.0033978933061501867
66,0.5172413793103449,0.055876685934489405,0.6666666666666666,0.07747318235995232,0.05167014613778706,0.0024057256269922416,0.09744623655913978,0.0033978933061501867
67,0.5172413793103449,0.06069364161849711,0.6666666666666666,0.08104886769964244,0.05167014613778706,0.0025260119083418534,0.09744623655913978,0.0034828406388039417
68,0.5310344827586206,0.06069364161849711,0.6764705882352942,0.08104886769964244,0.05167014613778706,0.00258615504901666,0.10080645161290322,0.0034828406388039417
69,0.5310344827586206,0.0674373795761079,0.6764705882352942,0.08343265792610251,0.05323590814196242,0.00258615504901666,0.10080645161290322,0.0036527353041114507
70,0.5517241379310345,0.0674373795761079,0.6862745098039216,0.08343265792610251,0.05323590814196242,0.0026462981896914657,0.10147849462365591,0.0036527353041114507
71,0.5517241379310345,0.07032755298651253,0.6862745098039216,0.08462455303933254,0.054279749478079335,0.0026462981896914657,0.10147849462365591,0.0037376826367652057
72,0.5586206896551724,0.07032755298651253,0.696078431372549,0.08462455303933254,0.054279749478079335,0.0027064413303662716,0.10416666666666667,0.0037376826367652057
73,0.5586206896551724,0.07129094412331406,0.696078431372549,0.08820023837902265,0.055323590814196244,0.0027064413303662716,0.10416666666666667,0.00382262996941896
74,0.5655172413793104,0.07129094412331406,0.7058823529411765,0.08820023837902265,0.055323590814196244,0.0027665844710410776,0.10483870967741936,0.00382262996941896
75,0.5655172413793104,0.07225433526011561,0.7058823529411765,0.09892729439809297,0.05793319415448852,0.0027665844710410776,0.10483870967741936,0.003992524634726469
76,0.5724137931034483,0.07225433526011561,0.7156862745098039,0.09892729439809297,0.05793319415448852,0.002826727611715884,0.10618279569892473,0.003992524634726469
77,0.5724137931034483,0.0789980732177264,0.7156862745098039,0.10250297973778308,0.059498956158663886,0.002826727611715884,0.10618279569892473,0.004162419300033979
78,0.5793103448275863,0.0789980732177264,0.7254901960784313,0.10250297973778308,0.059498956158663886,0.00288687075239069,0.10685483870967742,0.004162419300033979
79,0.5793103448275863,0.08285163776493257,0.7254901960784313,0.10369487485101311,0.06002087682672234,0.00288687075239069,0.10685483870967742,0.004332313965341488
80,0.5862068965517241,0.08285163776493257,0.7352941176470589,0.10369487485101311,0.06002087682672234,0.0029470138930654958,0.10752688172043011,0.004332313965341488
81,0.5862068965517241,0.08477842003853564,0.7352941176470589,0.10727056019070322,0.060542797494780795,0.0029470138930654958,0.10752688172043011,0.004417261297995243
82,0.593103448275862,0.08477842003853564,0.7549019607843137,0.10727056019070322,0.060542797494780795,0.003007157033740302,0.10954301075268817,0.004417261297995243
83,0.593103448275862,0.08574181117533719,0.7549019607843137,0.12276519666269368,0.06210855949895616,0.003007157033740302,0.10954301075268817,0.0045871559633027525
84,0.6068965517241379,0.08574181117533719,0.7647058823529411,0.12276519666269368,0.06210855949895616,0.003067300174415108,0.11088709677419355,0.0045871559633027525
85,0.6068965517241379,0.08670520231213873,0.7647058823529411,0.13110846245530394,0.06315240083507306,0.003067300174415108,0.11088709677419355,0.004757050628610262
86,0.6137931034482759,0.08670520231213873,0.7745098039215687,0.13110846245530394,0.06315240083507306,0.003127443315089914,0.11424731182795698,0.004757050628610262
87,0.6137931034482759,0.08766859344894026,0.7745098039215687,0.13825983313468415,0.0652400835073069,0.003127443315089914,0.11424731182795698,0.004926945293917771
88,0.6206896551724138,0.08766859344894026,0.7843137254901961,0.13825983313468415,0.0652400835073069,0.00318758645576472,0.11491935483870967,0.004926945293917771
89,0.6206896551724138,0.10308285163776493,0.7843137254901961,0.14421930870083433,0.06680584551148225,0.00318758645576472,0.11491935483870967,0.005011892626571526
90,0.6413793103448275,0.10308285163776493,0.803921568627451,0.14421930870083433,0.06680584551148225,0.003368015877789138,0.11626344086021505,0.005011892626571526
91,0.6413793103448275,0.10982658959537572,0.803921568627451,0.15613825983313467,0.06732776617954071,0.003368015877789138,0.11626344086021505,0.0050968399592252805
92,0.6482758620689655,0.10982658959537572,0.8137254901960784,0.15613825983313467,0.06732776617954071,0.003428159018463944,0.12163978494623656,0.0050968399592252805
93,0.6482758620689655,0.11175337186897881,0.8137254901960784,0.15971394517282478,0.06784968684759916,0.003428159018463944,0.12163978494623656,0.005181787291879035
94,0.6551724137931034,0.11175337186897881,0.8235294117647058,0.15971394517282478,0.06784968684759916,0.0035484452998135563,0.12634408602150538,0.005181787291879035
95,0.6551724137931034,0.11368015414258188,0.8235294117647058,0.16209773539928488,0.06889352818371608,0.0035484452998135563,0.12634408602150538,0.0052667346245327895
