,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,OUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,PUH,UHB,UHB,UHB,UHB,UHB,UHB,UHB,UHB,UHB,UHB,UHB
,AUROC,Achieved Sensitivity,Specificity,Accuracy,Precision,NPV,F1,n False Negative,n False Positive,DeLong P Current vs Global,DeLong LR vs DNN,AUROC,Achieved Sensitivity,Specificity,Accuracy,Precision,NPV,F1,n False Negative,n False Positive,DeLong P Current vs Global,DeLong LR vs DNN,AUROC,Achieved Sensitivity,Specificity,Accuracy,Precision,NPV,F1,n False Negative,n False Positive,DeLong P Current vs Global,DeLong LR vs DNN
Iteration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.793 (0.783 - 0.804),84.2% (82.5 - 85.8),59.1% (58.3 - 59.8),61.7% (61.0 - 62.4),19.2% (18.3 - 20.0),97.0% (96.7 - 97.3),0.3123367198838897,302,6805,4.80197231e-119,,0.864 (0.853 - 0.875),71.0% (68.6 - 73.2),88.4% (87.8 - 89.0),86.4% (85.8 - 87.0),43.6% (41.6 - 45.6),96.0% (95.6 - 96.4),0.5400153413449246,432,1367,1.10299277e-100,,0.878 (0.843 - 0.912),82.4% (73.8 - 88.5),78.5% (75.6 - 81.2),79.0% (76.2 - 81.4),31.8% (26.5 - 37.7),97.3% (95.8 - 98.3),0.45901639344262296,18,180,1.10000193e-08,
1,0.806 (0.795 - 0.817),83.5% (81.8 - 85.1),60.0% (59.2 - 60.7),62.4% (61.7 - 63.1),19.4% (18.6 - 20.3),96.9% (96.6 - 97.2),0.31471282454760036,316,6652,2.95426103e-07,,0.855 (0.844 - 0.865),70.5% (68.1 - 72.8),85.4% (84.8 - 86.1),83.8% (83.1 - 84.4),38.0% (36.2 - 39.8),95.8% (95.4 - 96.2),0.4936470588235295,439,1713,0.84395163,,0.9 (0.868 - 0.932),81.4% (72.7 - 87.7),86.8% (84.3 - 88.9),86.2% (83.8 - 88.2),42.8% (36.0 - 49.8),97.5% (96.1 - 98.4),0.5608108108108107,19,111,0.019148,
2,0.818 (0.807 - 0.828),82.8% (81.0 - 84.4),65.6% (64.8 - 66.3),67.3% (66.7 - 68.0),21.7% (20.8 - 22.7),97.1% (96.7 - 97.4),0.3437737075972689,330,5725,2.90594353e-11,,0.859 (0.848 - 0.87),69.3% (66.9 - 71.6),87.3% (86.7 - 87.9),85.3% (84.7 - 85.9),40.8% (38.9 - 42.8),95.7% (95.3 - 96.1),0.5138300523299277,457,1494,0.41268082,,0.901 (0.869 - 0.932),81.4% (72.7 - 87.7),85.8% (83.3 - 88.0),85.3% (82.9 - 87.5),41.1% (34.5 - 48.0),97.4% (96.0 - 98.3),0.5460526315789473,19,119,0.66533356,
3,0.817 (0.806 - 0.828),83.7% (82.0 - 85.3),61.4% (60.6 - 62.1),63.7% (63.0 - 64.4),20.0% (19.1 - 20.9),97.0% (96.7 - 97.3),0.3227364185110664,312,6420,0.00050668,,0.861 (0.85 - 0.871),71.5% (69.2 - 73.7),86.1% (85.4 - 86.7),84.4% (83.8 - 85.0),39.3% (37.5 - 41.2),96.0% (95.6 - 96.3),0.5075125208681135,424,1641,0.49531656,,0.901 (0.87 - 0.933),82.4% (73.8 - 88.5),85.8% (83.3 - 88.0),85.4% (83.0 - 87.6),41.4% (34.8 - 48.3),97.6% (96.2 - 98.5),0.5508196721311476,18,119,0.56188728,
4,0.823 (0.813 - 0.834),81.2% (79.4 - 82.9),67.2% (66.5 - 67.9),68.7% (68.0 - 69.3),22.2% (21.2 - 23.2),96.9% (96.5 - 97.2),0.3487616272554073,360,5451,0.22559243,,0.863 (0.853 - 0.874),74.2% (71.9 - 76.4),83.9% (83.2 - 84.5),82.8% (82.1 - 83.4),36.8% (35.1 - 38.5),96.3% (95.9 - 96.6),0.4916499665998664,384,1899,0.22982956,,0.901 (0.871 - 0.932),81.4% (72.7 - 87.7),85.1% (82.5 - 87.4),84.7% (82.3 - 86.9),39.9% (33.5 - 46.7),97.4% (96.0 - 98.3),0.535483870967742,19,125,0.19783037,
5,0.825 (0.815 - 0.835),80.5% (78.6 - 82.2),70.0% (69.3 - 70.7),71.1% (70.4 - 71.7),23.6% (22.6 - 24.7),96.9% (96.6 - 97.2),0.3651865008880995,374,4987,0.94997856,,0.862 (0.852 - 0.873),70.1% (67.7 - 72.4),87.7% (87.1 - 88.3),85.7% (85.1 - 86.3),41.9% (40.0 - 43.8),95.9% (95.5 - 96.2),0.5243841126194068,445,1447,0.5319753,,0.901 (0.87 - 0.932),82.4% (73.8 - 88.5),85.6% (83.0 - 87.8),85.2% (82.8 - 87.4),41.0% (34.5 - 47.8),97.6% (96.2 - 98.4),0.5472312703583062,18,121,0.33114443,
6,0.823 (0.813 - 0.834),82.6% (80.8 - 84.2),65.6% (64.8 - 66.3),67.3% (66.6 - 68.0),21.6% (20.7 - 22.6),97.0% (96.7 - 97.3),0.34294385432473445,334,5728,0.01044496,,0.865 (0.854 - 0.875),73.2% (70.9 - 75.4),85.0% (84.3 - 85.6),83.6% (83.0 - 84.3),38.1% (36.3 - 39.9),96.2% (95.8 - 96.5),0.5009199632014718,399,1771,0.55873781,,0.901 (0.87 - 0.932),81.4% (72.7 - 87.7),84.3% (81.6 - 86.6),84.0% (81.5 - 86.2),38.6% (32.4 - 45.3),97.4% (95.9 - 98.3),0.5236593059936909,19,132,0.53690351,
7,0.826 (0.816 - 0.836),80.7% (78.9 - 82.4),69.8% (69.1 - 70.5),70.9% (70.2 - 71.6),23.5% (22.5 - 24.6),96.9% (96.6 - 97.2),0.3643219040886061,370,5025,0.17435955,,0.864 (0.854 - 0.875),72.0% (69.7 - 74.3),86.7% (86.1 - 87.3),85.1% (84.5 - 85.7),40.7% (38.8 - 42.6),96.1% (95.7 - 96.4),0.5198836081474296,416,1564,0.96634171,,0.901 (0.87 - 0.932),83.3% (74.9 - 89.3),85.3% (82.8 - 87.6),85.1% (82.7 - 87.3),40.9% (34.4 - 47.7),97.7% (96.3 - 98.5),0.5483870967741935,17,123,0.06911931,
